5	D0P	CAM1_CLK_P
7	D0N	CAM1_CLK_N
9	D2P	CAM1_LANE0_P
11	D2N	CAM1_LANE0_N
13	D4P	CAM1_LANE1_P
15	D4N	CAM1_LANE1_N
22	S17	CAM1_SCL_VIO
24	S19	CAM1_SDA_VIO
21	S16	CAM1_GPIO0_VIO
23	S18	CAM1_GPIO1_VIO
17	D6P	CAM2_CLK_P
19	D6N	CAM2_CLK_N
6	D1P	CAM2_LANE0_P
8	D1N	CAM2_LANE0_N
14	D5P	CAM2_LANE1_P
16	D5N	CAM2_LANE1_N
26	S21	CAM2_SCL_VIO
28	S23	CAM2_SDA_VIO
25	S20	CAM2_GPIO0_VIO
27	S22	CAM2_GPIO1_VIO
10	D3P	CAM3_CLK_P
12	D3N	CAM3_CLK_N
18	D7P	CAM3_LANE0_P
20	D7N	CAM3_LANE0_N
33	P2C_CLKp	CAM3_LANE1_P
35	P2C_CLKn	CAM3_LANE1_N
30	S25	CAM3_SCL_VIO
32	S27	CAM3_SDA_VIO
29	S24	CAM3_GPIO0_VIO
31	S26	CAM3_GPIO1_VIO
34	C2P_CLKp	GPIO1_DIR
